"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Destelbergen";2,1;3,5;4,5;4,8;5,3;4,7;4,3;3,2;3,7;5,5;3,2
"Diepenbeek";2,7;3,0;10,5;9,2;7,9;8,4;5,4;5,8;8,1;8,0;7,4
"Diest";4,1;4,9;5,2;4,9;4,2;4,8;5,2;3,7;4,9;5,2;4,9
"Diksmuide";3,9;5,9;6,2;4,5;4,5;6,4;5,8;3,4;5,7;7,8;4,4
"Dilbeek";3,8;2,8;8,3;6,9;6,7;7,7;8,0;7,6;7,9;9,0;7,8
"Dilsen-Stokkem";5,4;4,9;5,9;4,3;5,1;6,7;6,9;5,1;8,5;8,6;7,3
"Drogenbos";10,2;8,5;20,3;22,1;19,7;26,0;16,5;18,3;21,8;17,4;16,3
"Duffel";3,9;5,3;7,1;5,9;7,1;8,4;7,5;5,9;8,7;8,4;7,7
"Edegem";4,3;4,4;5,8;4,8;4,8;4,5;4,6;4,0;5,2;5,5;6,7
"Eeklo";10,3;7,9;11,0;8,3;11,9;10,6;7,8;8,5;9,3;9,8;10,0
"Elsene";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Erpe-Mere";1,6;1,4;2,7;3,6;3,6;4,3;4,4;3,5;4,1;5,8;5,6
"Essen";10,8;9,8;14,4;13,0;10,1;12,0;10,9;9,6;10,7;11,3;10,9
"Etterbeek";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Evere";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
